This is an Introduction Text.This is an Introduction Text.;
This is an Outrotext.This is an Outrotext.This is an Outrotext.;
hatte nicht das Gefühl ; hatte das Gefühl;Ich hatte nicht das Gefühl, in dem virtuellen Raum zu sein;
überhaupt nicht; vollständig ; Wie sehr glich Ihr Erleben der virtuellen Umgebung dem Erleben einer realen Umgebung?;
trifft gar nicht zu; trifft völlig zu ; Ich hatte das Gefühl, in dem virtuellen Raum zu handeln statt etwas von außen zu bedienen.;
gar nicht real; vollkommen real; Wie real erschien Ihnen die virtuelle Umgebung?;
trifft gar nicht zu; trifft völlig zu ; Ich hatte das Gefühl, daß die virtuelle Umgebung hinter mir weitergeht.;
trifft gar nicht zu; trifft völlig zu ;Ich hatte das Gefühl, nur Bilder zu sehen.;
unbewusst ; extrem bewußt ; Wie bewußt war Ihnen die reale Welt, während Sie sich durch die virtuelle Welt bewegten (z.B. Geräusche, Raumtemperatur, andere Personen etc.)?;
trifft gar nicht zu; trifft völlig zu ; Meine Aufmerksamkeit war von der virtuellen Welt völlig in Bann gezogen.;
wie eine vorgestellte Welt ; nicht zu unterscheiden von der realen Welt; Die virtuelle Welt erschien mir wirklicher als die reale Welt.;
trifft gar nicht zu; trifft völlig zu ; Meine reale Umgebung war mir nicht mehr bewußt.“;
überhaupt nicht ;  sehr stark  ; In der computererzeugten Welt hatte ich den Eindruck, dort gewesen zu sein…;
trifft gar nicht zu; trifft völlig zu ;Ich fühlte mich im virtuellen Raum anwesend.;
trifft gar nicht zu; trifft völlig zu ; Ich achtete noch auf die reale Umgebung;
